1900	15.04.1900
1901	07.04.1901
1902	30.03.1902
1903	12.04.1903
1904	03.04.1904
1905	23.04.1905
1906	15.04.1906
1907	31.03.1907
1908	19.04.1908
1909	11.04.1909
1910	27.03.1910
1911	16.04.1911
1912	07.04.1912
1913	23.03.1913
1914	12.04.1914
1915	04.04.1915
1916	23.04.1916
1917	08.04.1917
1918	31.03.1918
1919	20.04.1919
1920	04.04.1920
1921	27.03.1921
1922	16.04.1922
1923	01.04.1923
1924	20.04.1924
1925	12.04.1925
1926	04.04.1926
1927	17.04.1927
1928	08.04.1928
1929	31.03.1929
1930	20.04.1930
1931	05.04.1931
1932	27.03.1932
1933	16.04.1933
1934	01.04.1934
1935	21.04.1935
1936	12.04.1936
1937	28.03.1937
1938	17.04.1938
1939	09.04.1939
1940	24.03.1940
1941	13.04.1941
1942	05.04.1942
1943	25.04.1943
1944	09.04.1944
1945	01.04.1945
1946	21.04.1946
1947	06.04.1947
1948	28.03.1948
1949	17.04.1949
1950	09.04.1950
1951	25.03.1951
1952	13.04.1952
1953	05.04.1953
1954	18.04.1954
1955	10.04.1955
1956	01.04.1956
1957	21.04.1957
1958	06.04.1958
1959	29.03.1959
1960	17.04.1960
1961	02.04.1961
1962	22.04.1962
1963	14.04.1963
1964	29.03.1964
1965	18.04.1965
1966	10.04.1966
1967	26.03.1967
1968	14.04.1968
1969	06.04.1969
1970	29.03.1970
1971	11.04.1971
1972	02.04.1972
1973	22.04.1973
1974	14.04.1974
1975	30.03.1975
1976	18.04.1976
1977	10.04.1977
1978	26.03.1978
1979	15.04.1979
1980	06.04.1980
1981	19.04.1981
1982	11.04.1982
1983	03.04.1983
1984	22.04.1984
1985	07.04.1985
1986	30.03.1986
1987	19.04.1987
1988	03.04.1988
1989	26.03.1989
1990	15.04.1990
1991	31.03.1991
1992	19.04.1992
1993	11.04.1993
1994	03.04.1994
1995	16.04.1995
1996	07.04.1996
1997	30.03.1997
1998	12.04.1998
1999	04.04.1999
2000	23.04.2000
2001	15.04.2001
2002	31.03.2002
2003	20.04.2003
2004	11.04.2004
2005	27.03.2005
2006	16.04.2006
2007	08.04.2007
2008	23.03.2008
2009	12.04.2009
2010	04.04.2010
2011	24.04.2011
2012	08.04.2012
2013	31.03.2013
2014	20.04.2014
2015	05.04.2015
2016	27.03.2016
2017	16.04.2017
2018	01.04.2018
2019	21.04.2019
2020	12.04.2020
2021	04.04.2021
2022	17.04.2022
2023	09.04.2023
2024	31.03.2024
2025	20.04.2025
2026	05.04.2026
2027	28.03.2027
2028	16.04.2028
2029	01.04.2029
2030	21.04.2030
2031	13.04.2031
2032	28.03.2032
2033	17.04.2033
2034	09.04.2034
2035	25.03.2035
2036	13.04.2036
2037	05.04.2037
2038	25.04.2038
2039	10.04.2039
2040	01.04.2040
2041	21.04.2041
2042	06.04.2042
2043	29.03.2043
2044	17.04.2044
2045	09.04.2045
2046	25.03.2046
2047	14.04.2047
2048	05.04.2048
2049	18.04.2049
2050	10.04.2050
2051	02.04.2051
2052	21.04.2052
2053	06.04.2053
2054	29.03.2054
2055	18.04.2055
2056	02.04.2056
2057	22.04.2057
2058	14.04.2058
2059	30.03.2059
2060	18.04.2060
2061	10.04.2061
2062	26.03.2062
2063	15.04.2063
2064	06.04.2064
2065	29.03.2065
2066	11.04.2066
2067	03.04.2067
2068	22.04.2068
2069	14.04.2069
2070	30.03.2070
2071	19.04.2071
2072	10.04.2072
2073	26.03.2073
2074	15.04.2074
2075	07.04.2075
2076	19.04.2076
2077	11.04.2077
2078	03.04.2078
2079	23.04.2079
2080	07.04.2080
2081	30.03.2081
2082	19.04.2082
2083	04.04.2083
2084	26.03.2084
2085	15.04.2085
2086	31.03.2086
2087	20.04.2087
2088	11.04.2088
2089	03.04.2089
2090	16.04.2090
2091	08.04.2091
2092	30.03.2092
2093	12.04.2093
2094	04.04.2094
2095	24.04.2095
2096	15.04.2096
2097	31.03.2097
2098	20.04.2098
2099	12.04.2099
2100	28.03.2100
2101	17.04.2101
2102	09.04.2102
2103	25.03.2103
2104	13.04.2104
2105	05.04.2105
2106	18.04.2106
2107	10.04.2107
2108	01.04.2108
